"Munispality","District","Region","Sub-region"
"Apac","Apac","Northern","Lango"
"Bushenyi","Bushenyi","Western","Ankole"
"Busia","Busia","Eastern","Busoga"
"Bugiri","Bugiri","Eastern","Busoga"
"Entebbe","Wakiso","Central","Buganda"
"Ibanda","Ibanda","Western","Ankole"
"Iganga","Iganga","Eastern","Busoga"
"Kamuli","Kamuli","Eastern","Busoga"
"Kabale","Kabale","Western","Kigezi"
"Kapchorwa","Kapchorwa","Eastern","Sebei"
"Kasese","Kasese","Western","Rwenzori"
"Kira","Wakiso","Central","Buganda"
"Kisoro","Kisoro","Western","Kigezi"
"Kitgum","Kitgum","Northern","Acholi"
"Koboko","Koboko","Northern","West Nile"
"Kotido","Kotido","Northern","Karamoja"
"Kumi","Kumi","Eastern","Teso"
"Lugazi","Buikwe","Central","Buganda"
"Makindye-Ssabagabo","Wakiso","Central","Buganda"
"Masindi","Masindi","Western","Bunyoro"
"Mityana","Mityana","Central","Buganda"
"Moroto","Moroto","Northern","Karamoja"
"Mubende","Mubende","Central","Buganda"
"Mukono","Mukono","Central","Buganda"
"Nebbi","Nebbi","Northern","West Nile"
"Ntungamo","Ntungamo","Western","Ankole"
"Nansana","Wakiso","Central","Buganda"
"Nejeru","Buikwe","Central","Buganda"
"Rukungiri","Rukungiri","Western","Kigezi"
"Tororo","Tororo","Eastern","Teso"
"Sheema","Sheema","Western","Ankole"